Source	ItemID	kText	cText
desc	$0	장검	長劍
desc	$1	도끼	斧
desc	$2	등잔	燈
desc	$3	양손검	雙手劍
desc	$4	아데나	金幣
desc	$5	청소부	警衛
desc	$6	괴물 눈	漂浮之眼
desc	$7	해골	骷髏
desc	$8	슬라임	史萊姆
desc	$9	무장	揮舞
desc	$10	켜짐	打開
desc	$11	기름 없음	無油
desc	$12	요정족 단검	精靈匕首
desc	$13	오크족 단검	歐西斯匕首
desc	$14	아탐	亞連
desc	$15	스칼펠	小刀
desc	$16	일본도	武士刀
desc	$17	싸울아비 장검	瑟魯基之劍
desc	$18	늑대인간	狼人
desc	$19	장로	長者
desc	$20	철퇴	釘錘
desc	$21	문	門
desc	$22	시체	屍體
desc	$23	고기	肉
desc	$24	활	弓
desc	$25	창	矛
desc	$26	체력 회복제	治癒藥水
desc	$27	단풍나무 막대	楓木魔杖
desc	$28	소나무 막대	松木魔杖
desc	$29	오우크 막대	橡木魔杖
desc	$30	`젤고 머' 주문서	對盔甲施法的卷軸
desc	$31	`쥬드 오크 야크' 주문서	毀滅盔甲的卷軸
desc	$32	`엔알 9' 주문서	
desc	$33	`지자자 조자자 주자자' 주문서	
desc	$34	`프라탸바야' 주문서	解除詛咒的卷軸
desc	$35	`데이엔 푸엘스' 주문서	對武器施法的卷軸
desc	$36	`렙 게스 벤 제아' 주문서	
desc	$37	`프리루체니' 주문서	
desc	$38	`엘빕 일로' 주문서	
desc	$39	`베르 예드 호레' 주문서	傳送回家的卷軸
desc	$40	`벤자르 보르가브' 주문서	瞬間移動卷軸
desc	$41	`타르' 주문서	
desc	$42	`윰 윰' 주문서	
desc	$43	`케르노드 웰' 주문서	鑑定卷軸
desc	$44	`엘람 에보우' 주문서	
desc	$45	`두암 스나트' 주문서	
desc	$46	`안도바 베가린' 주문서	
desc	$47	`베 포르브리데르네' 주문서	
desc	$48	`핵켐 무쉬' 주문서	
desc	$49	`벨록스 넵' 주문서	復活卷軸
desc	$50	`푸비 블렛치' 주문서	
desc	$51	`테모브' 주문서	
desc	$52	`가르벤 더' 주문서	
desc	$53	`리드 미' 주문서	
desc	$54	`키르제' 주문서	
desc	$55	확인 주문서	鑑定卷軸
desc	$56	돌 골렘	高崙石頭怪
desc	$57	좀비	人形殭屍
desc	$58	난쟁이	侏儒
desc	$59	오크	妖魔
desc	$60	전투 도끼	戰斧
desc	$61	화살	箭
desc	$62	바르디쉐	巴迪須
desc	$63	빌귀사름	柴刀
desc	$64	요정족 활	精靈弓
desc	$65	오크족 활	歐西斯弓
desc	$66	넓은 검	闊劍
desc	$67	양초	蠟燭
desc	$68	당근	胡蘿蔔
desc	$69	몽둥이	木棒
desc	$70	단검	匕首
desc	$71	벡드코빈	貝卡合金
desc	$72	달걀	蛋
desc	$73	포챠드	法丘
desc	$74	도리깨	弗萊爾
desc	$75	넓은 창	闊矛
desc	$76	귀사름	吉薩
desc	$77	미늘창	戟
desc	$78	뿔나팔	號角
desc	$79	투창	標槍
desc	$80	열쇠	鑰匙
desc	$81	기병창	槍
desc	$82	레몬	檸檬
desc	$83	루선해머	露西錘
desc	$84	모닝스타	流星錘
desc	$85	오렌지	橘子
desc	$86	팬케익	烤薄餅
desc	$87	파르티잔	帕提森
desc	$88	지팡이	柺杖
desc	$89	란서	倫瑟
desc	$90	반지	戒指
desc	$91	룬스워드	北歐神劍
desc	$92	언월도	彎刀
desc	$93	은 화살	銀箭
desc	$94	난쟁이족 도끼	侏儒鐵斧
desc	$95	요정족 창	精靈之矛
desc	$96	오크족 창	歐西斯之矛
desc	$97	난쟁이족 검	小侏儒短劍
desc	$98	요정족 검	精靈短劍
desc	$99	오크족 검	歐西斯短劍
desc	$100	짧은 검	短劍
desc	$101	양날 단검	小劍
desc	$102	삼지창	三叉戟
desc	$103	유니콘 뿔	獨角獸之角
desc	$104	불지	摩具
desc	$105	장궁	尤米弓
desc	$106	사과	蘋果
desc	$107	바나나	香蕉
desc	$108	행운 과자	幸運餅乾
desc	$109	크림 파이	奶油派
desc	$110	엘븐 와퍼	精靈餅乾
desc	$111	워해머	戰錘
desc	$112	군터의 집	甘特之屋
desc	$113	게렝의 집	吉倫之家
desc	$114	통나무 집	旅社日誌
desc	$115	마을	村莊
desc	$116	가죽 갑옷	小藤甲
desc	$117	착용	使用中
desc	$118	요정족 가죽 투구	精靈皮盔
desc	$119	가죽 모자	皮帽
desc	$120	오크족 투구	歐西斯頭盔
desc	$121	철 해골 모자	鐵殼帽
desc	$122	난쟁이족 철 투구	侏儒鐵盔
desc	$123	딱딱한 모자	硬帽
desc	$124	중절모	軟呢帽
desc	$125	고깔	圓帽
desc	$126	고깔	小丑帽
desc	$127	찌그러진 냄비	凹損的壺
desc	$128	투구	鋼盔
desc	$129	깃털 투구	羽毛盔
desc	$130	광휘의 투구	光輝之盔
desc	$131	에칭된 투구	蝕刻盔
desc	$132	반대 성향의 투구	對立之盔
desc	$133	새깃 장식 투구	毛冠盔
